dataset,data_path,knn_k,run_seed,split_seed,train_seed,seed_offset,task_stage,save_init_artifact,load_init_artifact,experiment,variant_key,variant_label,model_family,model_kind,predictor,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,selection,sigma_match,lambda_base,lambda_multiplier,goal0_target_reference,goal1_group,goal1_target_reference,_best_cfg,artifacts_dir,seed,histology,n_test,cindex,split_block_id,fixed_init_source_seed,fixed_init_source_variant_key,dataset_selected_mean_Khard,dataset_target_mean_Khard,dataset_khard_delta,dataset_selected_summary_stage,dataset_selected_summary_file
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,124,124,124,1,screen,True,,goal1,goal1_floor_concrete,Concrete floor (λ=0),Concrete,gated,mlp,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,124,kidneychromophobe,19,0.5633802816901409,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,124,124,124,1,screen,True,,goal1,goal1_floor_concrete,Concrete floor (λ=0),Concrete,gated,mlp,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,124,kidneyclearcellrenalcarcinoma,156,0.6758442675844267,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,124,124,124,1,screen,True,,goal1,goal1_floor_concrete,Concrete floor (λ=0),Concrete,gated,mlp,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,124,kidneypapillaryrenalcellcarcinoma,84,0.7311827956989247,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,123,123,123,0,screen,True,,goal1,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,gated,linear,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,123,kidneychromophobe,19,0.7183098591549296,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,123,123,123,0,screen,True,,goal1,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,gated,linear,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,123,kidneyclearcellrenalcarcinoma,156,0.6797160679716068,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,123,123,123,0,screen,True,,goal1,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,gated,linear,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,123,kidneypapillaryrenalcellcarcinoma,84,0.7680491551459293,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,127,127,127,4,screen,True,,goal1,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,gated,linear,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,127,kidneychromophobe,19,0.7323943661971831,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,127,127,127,4,screen,True,,goal1,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,gated,linear,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,127,kidneyclearcellrenalcarcinoma,156,0.7061733706173371,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,127,127,127,4,screen,True,,goal1,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,gated,linear,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,127,kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,,,,,,,,
kipan,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/kipan_20260209_213604,8,126,126,126,3,screen,True,,goal1,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,gated,linear,lspin_tf,0.22,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 12, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,126,kidneychromophobe,19,0.704225352112676,,,,,,,,
