dataset,data_path,knn_k,run_seed,split_seed,train_seed,seed_offset,task_stage,save_init_artifact,load_init_artifact,experiment,variant_key,variant_label,model_family,model_kind,predictor,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,selection,sigma_match,lambda_base,lambda_multiplier,goal0_target_reference,goal1_group,goal1_target_reference,_best_cfg,artifacts_dir,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,affinity_artifact,init_artifact,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count,status,error,elapsed_sec,split_block_id,fixed_init_source_seed,fixed_init_source_variant_key,dataset_selected_mean_Khard,dataset_target_mean_Khard,dataset_khard_delta,dataset_selected_summary_stage,dataset_selected_summary_file
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,123,123,123,0,screen,True,,goal1,goal1_floor_concrete,Concrete floor (λ=0),Concrete,gated,mlp,concrete,0.1,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5983619983619983,0.8421052631578947,1,11952.32421875,11949.591796875,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_concrete__seed123_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_concrete__seed123_init.pt,23939.0,23352.0,20930.16283750937,ok,,11.076241493225098,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,127,127,127,4,screen,True,,goal1,goal1_floor_concrete,Concrete floor (λ=0),Concrete,gated,mlp,concrete,0.1,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6448812448812449,0.6272189349112426,2,12015.08203125,12013.21875,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_concrete__seed127_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_concrete__seed127_init.pt,23955.0,23411.0,20890.077028900785,ok,,3.65485429763794,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,126,126,126,3,screen,True,,goal1,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,gated,linear,concrete,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6478296478296478,0.6670547147846333,0,11904.9482421875,11891.5595703125,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_lconcrete__seed126_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_lconcrete__seed126_init.pt,23946.0,23290.0,20763.67226637981,ok,,2.393508195877075,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,125,125,125,2,screen,True,,goal1,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,gated,linear,lspin_tf,0.15,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 35, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6248976248976249,0.7734487734487735,8,11538.064453125,11538.443359375,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_llspin__seed125_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_llspin__seed125_init.pt,23723.0,22134.0,19396.49282477675,ok,,3.81780743598938,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,124,124,124,1,screen,True,,goal1,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,gated,mlp,lspin_tf,0.1,0.0,0.0,floor,exact,0.0,0.0,False,floor,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5934479934479935,0.596,0,11847.873046875,11848.248046875,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_lspin__seed124_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_floor_lspin__seed124_init.pt,23949.0,23289.0,20763.83549551446,ok,,1.903421401977539,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,123,123,123,0,screen,True,,goal1,goal1_linear_cox,Linear Cox,LinearCox,linear_cox,,,,,,reference,na,,,False,dense,False,,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6907452907452908,0.8552631578947368,86,,,,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_linear_cox__seed123_init.pt,,,,ok,,5.348080396652222,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,127,127,127,4,screen,True,,goal1,goal1_linear_cox,Linear Cox,LinearCox,linear_cox,,,,,,reference,na,,,False,dense,False,,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6145782145782146,0.8017751479289941,0,,,,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_linear_cox__seed127_init.pt,,,,ok,,1.2620656490325928,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,126,126,126,3,screen,True,,goal1,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,gated,mlp,lspin_tf,0.1,0.007,0.0,nosmooth,nearest,0.007,1.0,False,alt_sigma,False,"{'gated_lr': 0.002, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 10, 'gate_weight_decay': 0.0}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5760851760851761,0.6274738067520372,8,331.0007629394531,330.9549865722656,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_lspin_alt_nosmooth__seed126_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_lspin_alt_nosmooth__seed126_init.pt,4754.0,1065.0,1135.8520927308086,ok,,4.424420118331909,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,125,125,125,2,screen,True,,goal1,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,gated,mlp,concrete,0.1,0.0022,0.0,goal1_nosmooth_sweep,exact,0.0022,1.0,False,nosmooth,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.6517608517608517,0.7662337662337663,10,326.0766296386719,307.2926025390625,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p0__seed125_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p0__seed125_init.pt,9093.0,1380.0,2865.4932079926843,ok,,4.5634520053863525,,,,,,,,
brca,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/processed/tcga_brca20260214_001423,5,124,124,124,1,screen,True,,goal1,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,gated,mlp,concrete,0.1,0.00275,0.0,goal1_nosmooth_sweep,exact,0.0022,1.25,False,nosmooth,False,"{'gated_lr': 0.001, 'gating_hidden_dim': 64, 'lr_schedule': None, 'temp_schedule': None, 'gate_hidden_dropout_p': 0.0, 'patience': 20, 'gate_weight_decay': None}",/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts,0.5882063882063882,0.6,8,322.0487060546875,300.9903564453125,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p25__seed124_aff.npy,/banach2/wes/lspin-repos/sparsedeepsurv-paper/data/runs/validate_goal1_gentle_all_kipan_brca_20260408_175906/artifacts/brca__goal1__screen__goal1_nosmooth_concrete_lamx1p25__seed124_init.pt,9174.0,1430.0,3031.3044463003444,ok,,3.950428485870361,,,,,,,,
